X;13,0;13,1;13,2;13,3;13,4;13,5;13,6;13,7;13,8;13,9;14,0;14,1;14,2;14,3;14,4;14,5;14,6;14,7;14,8;14,9;15,0;15,1;15,2;15,3;15,4;15,5;15,6;15,7;15,8;15,9;16,0;16,1;16,2;16,3;16,4;16,5;16,6;16,7;16,8;16,9;17,0;17,1;17,2;17,3;17,4;17,5;17,6;17,7;17,8;17,9;18,0;18,1;18,2;18,3;18,4;18,5;18,6;18,7;18,8;18,9;19,0;19,1;19,2;19,3;19,4;19,5;19,6;19,7;19,8;19,9;20,0;20,1;20,2;20,3;20,4;20,5;20,6;20,7;20,8;20,9;21,0;21,1;21,2;21,3;21,4;21,5;21,6;21,7;21,8;21,9;22,0;22,1;22,2;22,3;22,4;22,5;22,6;22,7;22,8;22,9;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;133,65;129,69;125,82;122,01;118,28;114,63;111,06;107,56;104,14;100,79;97,52;94,33;91,21;88,16;85,20;82,31;79,49;76,76;74,10;71,51;69,00;66,71;64,52;62,44;60,45;58,57;56,79;55,12;53,54;52,07;50,70;49,10;47,54;46,02;44,54;43,10;41,71;40,36;39,04;37,77;36,54;35,60;34,73;33,95;33,25;32,64;32,12;31,67;31,32;31,04;30,85;30,22;29,57;28,91;28,24;27,55;26,86;26,15;25,42;24,69;23,94;23,66;23,46;23,33;23,27;23,29;23,38;23,55;23,79;24,11;24,50;24,88;25,32;25,82;26,37;26,99;27,67;28,40;29,19;30,04;30,96;31,71;32,49;33,28;34,10;34,93;35,79;36,66;37,56;38,47;39,41;40,95;42,62;44,41;46,33;48,37;50,55;52,84;55,27;57,82;60,50
2;139,40;135,54;131,76;128,04;124,40;120,84;117,34;113,92;110,56;107,29;104,08;100,95;97,88;94,90;91,98;89,14;86,36;83,66;81,04;78,48;76,00;73,71;71,52;69,42;67,42;65,52;63,70;61,98;60,36;58,83;57,40;55,78;54,19;52,65;51,16;49,71;48,29;46,93;45,60;44,32;43,08;42,09;41,17;40,34;39,58;38,90;38,31;37,79;37,36;37,00;36,72;36,06;35,39;34,72;34,04;33,36;32,67;31,98;31,29;30,59;29,88;29,58;29,35;29,19;29,09;29,07;29,12;29,23;29,42;29,67;30,00;30,33;30,72;31,17;31,67;32,24;32,86;33,54;34,27;35,07;35,92;36,62;37,34;38,09;38,85;39,63;40,43;41,25;42,10;42,96;43,84;45,25;46,78;48,42;50,18;52,05;54,03;56,12;58,33;60,65;63,08
3;145,25;141,48;137,78;134,16;130,60;127,10;123,68;120,33;117,04;113,83;110,68;107,60;104,59;101,65;98,78;95,98;93,25;90,58;87,98;85,46;83,00;80,71;78,52;76,41;74,39;72,45;70,61;68,85;67,18;65,59;64,10;62,45;60,85;59,29;57,77;56,30;54,87;53,49;52,15;50,86;49,61;48,57;47,60;46,72;45,90;45,16;44,50;43,91;43,40;42,96;42,60;41,91;41,22;40,53;39,85;39,17;38,49;37,82;37,15;36,47;35,80;35,48;35,23;35,03;34,90;34,84;34,84;34,91;35,04;35,24;35,50;35,78;36,12;36,52;36,97;37,49;38,05;38,68;39,36;40,10;40,90;41,54;42,21;42,90;43,61;44,34;45,09;45,86;46,65;47,46;48,29;49,58;50,98;52,47;54,07;55,76;57,56;59,46;61,46;63,56;65,76
4;151,20;147,52;143,90;140,35;136,86;133,44;130,08;126,80;123,57;120,41;117,32;114,29;111,33;108,44;105,60;102,84;100,14;97,51;94,94;92,44;90,00;87,71;85,51;83,39;81,35;79,39;77,51;75,71;73,99;72,35;70,80;69,13;67,50;65,92;64,39;62,90;61,45;60,05;58,69;57,38;56,12;55,04;54,03;53,09;52,22;51,42;50,69;50,03;49,44;48,93;48,48;47,76;47,06;46,36;45,67;44,99;44,32;43,66;43,00;42,36;41,72;41,38;41,09;40,87;40,71;40,60;40,56;40,58;40,66;40,80;41,00;41,24;41,53;41,88;42,28;42,74;43,26;43,83;44,46;45,14;45,88;46,48;47,10;47,73;48,39;49,07;49,77;50,49;51,22;51,98;52,76;53,94;55,20;56,56;58,00;59,53;61,15;62,86;64,66;66,54;68,52
5;157,25;153,64;150,10;146,62;143,20;139,84;136,55;133,32;130,15;127,04;124,00;121,02;118,10;115,24;112,45;109,72;107,05;104,44;101,90;99,42;97,00;94,71;92,50;90,36;88,30;86,31;84,40;82,56;80,80;79,11;77,50;75,80;74,16;72,55;71,00;69,48;68,02;66,60;65,23;63,90;62,62;61,50;60,45;59,45;58,53;57,67;56,88;56,15;55,49;54,90;54,37;53,63;52,90;52,19;51,49;50,81;50,14;49,49;48,85;48,23;47,62;47,26;46,95;46,70;46,50;46,36;46,28;46,25;46,28;46,36;46,50;46,69;46,94;47,24;47,59;48,00;48,47;48,99;49,56;50,19;50,88;51,42;51,99;52,58;53,19;53,81;54,46;55,13;55,82;56,52;57,25;58,31;59,46;60,67;61,97;63,34;64,80;66,32;67,93;69,61;71,38
6;163,40;159,86;156,39;152,97;149,61;146,32;143,08;139,90;136,78;133,72;130,72;127,78;124,90;122,08;119,32;116,62;113,97;111,39;108,87;106,40;104,00;101,71;99,49;97,33;95,25;93,24;91,29;89,41;87,61;85,87;84,20;82,48;80,81;79,18;77,60;76,07;74,59;73,15;71,76;70,42;69,12;67,96;66,85;65,81;64,84;63,92;63,07;62,28;61,55;60,88;60,28;59,51;58,76;58,03;57,33;56,64;55,97;55,33;54,71;54,10;53,52;53,13;52,80;52,51;52,28;52,11;51,98;51,91;51,88;51,92;52,00;52,15;52,34;52,60;52,90;53,27;53,68;54,15;54,67;55,25;55,88;56,38;56,90;57,43;57,99;58,57;59,17;59,79;60,42;61,08;61,76;62,72;63,74;64,83;65,98;67,21;68,49;69,85;71,27;72,76;74,32
7;169,65;166,18;162,76;159,40;156,10;152,85;149,67;146,53;143,46;140,44;137,48;134,58;131,73;128,94;126,21;123,53;120,91;118,35;115,84;113,39;111,00;108,70;106,47;104,30;102,19;100,15;98,17;96,26;94,41;92,62;90,90;89,15;87,46;85,81;84,21;82,65;81,15;79,69;78,28;76,92;75,60;74,40;73,25;72,16;71,13;70,16;69,25;68,40;67,61;66,87;66,19;65,40;64,63;63,88;63,16;62,47;61,81;61,17;60,55;59,97;59,40;58,99;58,63;58,32;58,06;57,84;57,68;57,56;57,49;57,47;57,50;57,60;57,76;57,96;58,22;58,54;58,90;59,32;59,79;60,32;60,90;61,34;61,81;62,30;62,81;63,34;63,89;64,46;65,05;65,66;66,29;67,14;68,05;69,01;70,04;71,11;72,25;73,44;74,69;75,99;77,36
8;176,00;172,58;169,22;165,91;162,66;159,46;156,32;153,22;150,19;147,21;144,28;141,41;138,59;135,82;133,12;130,46;127,86;125,31;122,82;120,38;118,00;115,70;113,45;111,26;109,13;107,07;105,05;103,10;101,21;99,38;97,60;95,83;94,11;92,43;90,81;89,23;87,70;86,22;84,79;83,41;82,08;80,83;79,64;78,51;77,43;76,40;75,44;74,52;73,67;72,87;72,12;71,30;70,50;69,74;69,01;68,31;67,64;67,00;66,40;65,82;65,28;64,85;64,46;64,12;63,82;63,57;63,36;63,21;63,09;63,02;63,00;63,06;63,17;63,33;63,54;63,81;64,13;64,50;64,92;65,39;65,92;66,32;66,74;67,19;67,65;68,13;68,63;69,15;69,70;70,26;70,84;71,59;72,39;73,24;74,13;75,07;76,06;77,09;78,17;79,30;80,48
