X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;294,00;240,00;195,00;158,00;127,00;103,00;89,00;79,00;76,00;77,00;81,00
20;342,00;292,00;247,00;211,00;181,00;156,00;144,00;133,00;128,00;124,00;119,00
30;393,00;344,00;299,00;265,00;236,00;212,00;199,00;187,00;179,00;173,00;166,00
40;457,00;399,00;353,00;310,00;293,00;270,00;254,00;240,00;231,00;223,00;215,00
50;536,00;472,00;420,00;382,00;351,00;328,00;300,00;294,00;282,00;273,00;263,00
60;643,00;560,00;495,00;449,00;411,00;386,00;365,00;348,00;334,00;322,00;311,00
70;755,00;654,00;575,00;510,00;475,00;444,00;420,00;402,00;385,00;374,00;361,00
80;932,00;786,00;676,00;602,00;544,00;505,00;475,00;456,00;437,00;426,00;411,00
90;954,00;954,00;800,00;690,00;624,00;572,00;533,00;511,00;491,00;478,00;464,00
100;1015,00;1015,00;907,00;810,00;724,00;649,00;598,00;571,00;549,00;533,00;518,00
110;1036,00;1036,00;1036,00;919,00;820,00;739,00;675,00;638,00;613,00;592,00;572,00
120;1036,00;1036,00;1187,00;1017,00;912,00;842,00;764,00;712,00;683,00;655,00;626,00

