X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;175,00;165,00;157,00;148,00;142,00;136,00;130,00;125,00;121,00;116,00;112,00
20;193,00;186,00;183,00;174,00;170,00;165,00;158,00;153,00;149,00;144,00;140,00
30;264,00;244,00;228,00;213,00;200,00;189,00;179,00;181,00;177,00;172,00;168,00
40;347,00;319,00;294,00;275,00;258,00;244,00;232,00;220,00;211,00;203,00;195,00
50;433,00;396,00;366,00;341,00;319,00;301,00;284,00;270,00;258,00;248,00;237,00
60;531,00;479,00;439,00;408,00;382,00;359,00;340,00;323,00;307,00;293,00;280,00
70;651,00;571,00;518,00;478,00;446,00;419,00;396,00;376,00;357,00;341,00;326,00
80;855,00;688,00;604,00;554,00;514,00;480,00;453,00;428,00;408,00;389,00;371,00
90;1059,00;871,00;720,00;635,00;586,00;545,00;513,00;483,00;459,00;438,00;418,00
100;1263,00;1054,00;866,00;748,00;663,00;612,00;574,00;541,00;512,00;487,00;465,00
110;1467,00;1237,00;1012,00;871,00;761,00;688,00;638,00;597,00;567,00;539,00;513,00
120;1672,00;1420,00;1158,00;994,00;863,00;785,00;709,00;660,00;623,00;590,00;562,00

