X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;189,00;158,00;132,00;111,00;95,00;84,00;77,00;74,00;76,00;80,00;87,00
20;260,00;229,00;202,00;178,00;159,00;144,00;135,00;129,00;127,00;127,00;125,00
30;341,00;304,00;272,00;245,00;222,00;205,00;192,00;184,00;179,00;176,00;172,00
40;442,00;393,00;351,00;314,00;286,00;266,00;250,00;238,00;230,00;225,00;219,00
50;570,00;499,00;436,00;387,00;352,00;327,00;308,00;293,00;282,00;274,00;266,00
60;713,00;614,00;532,00;469,00;423,00;390,00;365,00;347,00;333,00;323,00;314,00
70;883,00;752,00;620,00;553,00;500,00;456,00;420,00;400,00;384,00;372,00;363,00
80;1080,00;910,00;717,00;640,00;576,00;524,00;482,00;453,00;433,00;418,00;408,00
90;1110,00;1086,00;810,00;734,00;668,00;603,00;550,00;512,00;486,00;465,00;449,00
100;1110,00;1150,00;908,00;835,00;764,00;691,00;628,00;579,00;544,00;516,00;495,00
110;1110,00;1150,00;1005,00;924,00;850,00;777,00;710,00;655,00;611,00;572,00;538,00
120;1110,00;1150,00;1102,00;1010,00;932,00;861,00;795,00;736,00;682,00;635,00;595,00

