X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;178,70;161,10;142,00;122,90;108,00;96,70;90,30;85,60;82,50;77,50;73,30
20;252,60;230,20;208,40;187,40;169,80;155,90;145,90;137,50;131,00;124,50;119,30
30;326,60;299,30;274,80;251,90;231,60;215,00;201,60;189,50;179,60;171,60;165,40
40;401,50;369,10;341,00;315,80;292,80;273,60;257,20;241,50;228,20;218,60;211,50
50;480,00;442,00;409,00;379,00;353,00;331,00;312,00;294,00;278,00;266,00;258,00
60;563,10;518,50;479,70;445,60;414,50;388,30;366,70;347,70;329,50;314,80;304,70
70;650,00;597,90;552,80;513,50;479,20;447,90;422,60;401,60;381,80;364,50;352,60
80;753,00;686,90;632,30;584,30;544,70;510,10;480,90;456,00;433,70;414,50;401,00
90;878,70;801,30;728,30;670,60;618,40;577,50;542,10;512,90;486,80;465,00;449,70
100;1005,40;924,90;845,20;773,90;710,10;657,80;613,20;576,30;544,50;518,90;501,10
110;1132,00;1048,00;963,00;889,80;821,50;751,30;700,00;653,90;613,70;580,60;557,40
120;1258,70;1172,80;1080,80;1006,20;938,60;848,80;790,80;736,30;687,10;645,10;615,30

