X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;162,00;145,00;120,00;118,00;108,00;102,00;99,00;98,00;99,00;104,00;108,00
20;218,00;190,00;180,00;165,00;153,00;145,00;139,00;135,00;133,00;134,00;133,00
30;280,00;258,00;241,00;226,00;212,00;200,00;191,00;184,00;177,00;171,00;166,00
40;359,00;337,00;314,00;294,00;276,00;260,00;248,00;237,00;228,00;219,00;212,00
50;455,00;419,00;389,00;362,00;339,00;320,00;304,00;290,00;278,00;267,00;258,00
60;549,00;505,00;467,00;431,00;404,00;381,00;361,00;344,00;329,00;315,00;304,00
70;654,00;594,00;542,00;500,00;469,00;442,00;419,00;398,00;380,00;364,00;340,00
80;781,00;693,00;626,00;575,00;532,00;502,00;476,00;453,00;432,00;413,00;397,00
90;928,00;821,00;732,00;661,00;608,00;569,00;539,00;512,00;488,00;466,00;444,00
100;1110,00;930,00;796,00;788,00;715,00;656,00;614,00;578,00;549,00;523,00;499,00
110;1110,00;1150,00;1076,00;956,00;853,00;767,00;698,00;646,00;613,00;586,00;560,00
120;1110,00;1150,00;1240,00;1165,00;1022,00;902,00;791,00;716,00;680,00;655,00;627,00

