X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;153,00;139,00;129,00;120,00;115,00;111,00;109,00;108,00;108,00;109,00;108,00
20;226,00;207,00;192,00;179,00;169,00;162,00;156,00;151,00;147,00;142,00;138,00
30;314,00;288,00;266,00;247,00;233,00;220,00;210,00;199,00;190,00;183,00;175,00
40;408,00;373,00;342,00;318,00;297,00;279,00;264,00;250,00;238,00;227,00;217,00
50;512,00;462,00;421,00;389,00;362,00;339,00;320,00;303,00;287,00;272,00;259,00
60;624,00;559,00;506,00;463,00;428,00;401,00;377,00;355,00;336,00;318,00;302,00
70;741,00;661,00;596,00;542,00;498,00;463,00;434,00;409,00;386,00;366,00;348,00
80;872,00;774,00;692,00;626,00;573,00;529,00;493,00;463,00;437,00;415,00;396,00
90;937,00;862,00;790,00;721,00;655,00;590,00;557,00;521,00;491,00;466,00;447,00
100;1010,00;955,00;904,00;835,00;748,00;678,00;623,00;583,00;549,00;522,00;500,00
110;1110,00;1132,00;1015,00;921,00;850,00;766,00;699,00;649,00;611,00;581,00;558,00
120;1110,00;1150,00;1123,00;979,00;961,00;854,00;779,00;719,00;677,00;643,00;621,00

