X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;148,00;127,00;109,00;96,00;86,00;80,00;77,00;77,00;80,00;86,00;95,00
20;209,00;191,00;176,00;160,00;146,00;137,00;132,00;128,00;124,00;121,00;119,00
30;291,00;269,00;250,00;230,00;213,00;201,00;191,00;182,00;175,00;168,00;164,00
40;378,00;348,00;324,00;299,00;278,00;262,00;249,00;236,00;225,00;216,00;209,00
50;467,00;431,00;400,00;370,00;344,00;323,00;306,00;290,00;276,00;264,00;254,00
60;564,00;519,00;480,00;444,00;412,00;386,00;363,00;344,00;326,00;311,00;299,00
70;673,00;612,00;561,00;522,00;484,00;451,00;423,00;398,00;378,00;359,00;344,00
80;796,00;715,00;649,00;602,00;561,00;520,00;486,00;455,00;430,00;408,00;391,00
90;929,00;827,00;744,00;687,00;640,00;596,00;552,00;517,00;486,00;460,00;442,00
100;1069,00;942,00;844,00;775,00;722,00;675,00;628,00;587,00;550,00;518,00;495,00
110;1110,00;1042,00;944,00;865,00;805,00;756,00;709,00;663,00;618,00;581,00;555,00
120;1110,00;1127,00;1044,00;957,00;889,00;839,00;795,00;754,00;692,00;645,00;623,00

