X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;179,00;154,00;135,00;122,00;111,00;104,00;101,00;100,00;104,00;110,00;119,00
20;268,00;234,00;207,00;187,00;172,00;160,00;152,00;146,00;145,00;146,00;149,00
30;357,00;313,00;278,00;253,00;233,00;218,00;205,00;196,00;190,00;186,00;183,00
40;447,00;393,00;350,00;318,00;294,00;276,00;260,00;247,00;238,00;230,00;225,00
50;535,00;476,00;430,00;392,00;361,00;336,00;316,00;299,00;286,00;275,00;266,00
60;638,00;567,00;510,00;464,00;426,00;396,00;372,00;352,00;335,00;321,00;309,00
70;740,00;658,00;591,00;537,00;492,00;457,00;430,00;406,00;387,00;370,00;355,00
80;845,00;753,00;676,00;614,00;563,00;522,00;490,00;463,00;441,00;420,00;402,00
90;947,00;852,00;769,00;698,00;639,00;592,00;555,00;524,00;497,00;474,00;453,00
100;954,00;954,00;866,00;789,00;723,00;668,00;625,00;588,00;558,00;531,00;508,00
110;954,00;954,00;917,00;863,00;807,00;749,00;699,00;657,00;623,00;593,00;568,00
120;1110,00;1150,00;922,00;920,00;891,00;835,00;777,00;731,00;692,00;660,00;633,00

